Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic,Lean fish,Veal,Shellfish,Spicy food,Beef,Aperitif,Mild and soft cheese,Poultry,"Rich fish (salmon, tuna etc)",Cured Meat,Pasta,Pork,Lamb,Mushrooms,Appetizers and snacks,"Game (deer, venison)",Vegetarian,Mature and hard cheese,Goat cheese,Fruity desserts
Estate Shiraz 2018,3.9,1542,22.32,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Taylors / Wakefield,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.48,45.08,22.76,43.13,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Entity Shiraz 2018,4.3,331,34.94,Australia / South Australia / Barossa / Barossa Valley,John Duval,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.27,45.34,21.84,43.32,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
L-BLOCK Shiraz 2013,4.0,51,25.98,Australia / Victoria / Western Victoria / Pyrenees,Domaine Terlato & Chapoutier,Australian Shiraz,14.5,Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,53.74,20.74,46.35,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Puritan Shiraz 2019,3.8,80,20.0,Australia / South Australia / Fleurieu / McLaren Vale,Battle of Bosworth,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.95,45.02,18.86,46.2,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
The Steading 2019,4.1,170,36.0,Australia / South Australia / Barossa / Barossa Valley,Torbreck,Australian Rhône Blend Red,15.0,"53 Grenache, 28 Shiraz/Syrah, 19 Mataro","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,45.38,10.77,43.06,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
Max's Cabernet Sauvignon 2017,3.8,706,19.99,Australia / South Australia,Penfolds,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",68.33,55.45,7.89,53.45,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Shiraz (Signature) 2019,3.8,117,22.67,Australia / South Australia / Fleurieu / McLaren Vale,Robert Oatley,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.19,43.25,16.84,40.69,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
M3 Chardonnay 2020,4.0,289,45.33,Australia / South Australia / Mount Lofty Ranges / Adelaide Hills,Shaw + Smith,Australian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",54.0862,46.29526972,9.05,53.555,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False
Mother's Milk Shiraz 2019,3.9,644,16.14,Australia / South Australia / Barossa,First Drop,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,42.44,18.1,42.39,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Sexy Beast Cabernet Sauvignon 2017,3.9,907,26.7,Australia / South Australia / Fleurieu / McLaren Vale,Two Hands,Australian Cabernet Sauvignon,13.4,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",67.93,56.53,10.92,54.68,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Valley Floor Shiraz 2013,4.1,386,16.98,Australia / South Australia / Barossa,Langmeil,Australian Shiraz,14.5,Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,45.86,20.32,43.07,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Mathilda Shiraz 2017,3.8,1052,15.95,Australia / Victoria,Domaine Tournon,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.52,46.79,15.86,45.75,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
Basket Pressed Shiraz 2014,3.8,194,31.98,Australia / South Australia / Fleurieu / McLaren Vale,Kay Brothers,Australian Shiraz,14.2,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,43.1,21.03,41.37,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
